,index,frequency
0,6,0
1,#,0
2,e,0
3,Y,0
4,),0
5,/,0
6,[,0
7,a,0
8,4,0
9,\,0
10,i,0
11,E,0
12,+,0
13,H,0
14,%,0
15,5,0
16,B,0
17,C,0
18,3,0
19,A,0
20,X,0
21,m,0
22,.,0
23,D,0
24,p,0
25,n,0
26,W,0
27,y,0
28,-,0
29,1,0
30,8,0
31,=,0
32,G,0
33,N,0
34,u,0
35,U,0
36,2,0
37,V,0
38,g,0
39,f,0
40,],0
41,0,0
42,Z,0
43,O,0
44,c,0
45,l,0
46,R,0
47,s,0
48,I,0
49,M,0
50,K,0
51,o,0
52,t,0
53,k,0
54,@,0
55,7,0
56,d,0
57,r,0
58,P,0
59,F,0
60,L,0
61,T,0
62,9,0
63,S,0
64,b,0
65,h,0
66,(,0
67,CC,229
68,O),129805
69,C(,74205
70,CCCC,87
71,cc,65506
72,[C,59212
73,[C@,58969
74,H],56023
75,=O),50460
76,C),43977
77,(O),37547
78,[C@H],31441
79,C(=O),27113
80,C=,26252
81,[C@@,24453
82,c1,2553
83,(C),22214
84,[C@@H],22114
85,CCCCCCCC,64
86,(=O),19261
87,C(O),16763
88,c2,16107
89,(C,14537
90,CCC=,13350
91,C1,831
92,c(,12293
93,C(C),11650
94,c1cc,11470
95,OC,438
96,c(O),9328
97,c3,9036
98,[C@H](O),8615
99,CCC,448
100,CCC=CCC=,8033
101,CO,622
102,[C@H](C,7319
103,C=C,6884
104,P(=O),6398
105,c2cc,6225
106,OC(=O),5903
107,OC(,5657
108,CCCCCC,802
109,OCC,67
110,/C=C,5488
111,C2,323
112,[C@@H](O),5051
113,C(O)C(O),5002
114,[C@@H](,4979
115,P(=O)(O),4690
116,N),4667
117,CC(=O),4648
118,[C@H](,4574
119,[C@H]1,4542
120,CO),4458
121,O[C@H](C,4426
122,[O,4224
123,O=,4197
124,[O-,4116
125,C(=O)O),4059
126,CC(C),3885
127,CC1,597
128,[C@@H]1,3673
129,[O-],356
130,C3,79
131,2),3547
132,c3cc,3401
133,OC(=O)CCCCCCCC,3248
134,[O-]),3238
135,[C@],3075
136,c(O)cc,3064
137,c4,3052
138,NC(=O),3034
139,OC(CO),3009
140,/C=C/,2989
141,cn,2984
142,OP(=O)(O),2981
143,+],248
144,C(=O)N,2794
145,[C@H]2,2756
146,O[C@@H],2742
147,c1cccc,2702
148,[n,2645
149,OC),2633
150,=C,2612
151,)cc,2599
152,O[C@H](CO),2583
153,[N,2505
154,[nH],2406
155,[C@@],2339
156,COc1cc,2331
157,OC(CO)C(O)C(O),2328
158,(C)CC,2225
159,/C=C\,2196
160,([O-]),2136
161,c(O)c(O),2095
162,[C@@H](C,2048
163,[N+],2047
164,CCC2,1981
165,c1),1977
166,C(=O)O,113
167,C(=O)OC,1957
168,c2cccc,1947
169,OC1,1935
170,c(=O),1911
171,3),1905
172,F),1857
173,C(C)(C),1837
174,[C@H]3,1817
175,C4,1809
176,=O,1800
177,c(C,1746
178,CCC=CCC=CCC=CCC=,1740
179,CCCCCC=,1733
180,c(-,1732
181,CCC4,1708
182,P(=O)([O-]),1662
183,c2),1648
184,OC2,1604
185,CC(,1579
186,COP(=O)(O),1538
187,C(C)=O),1537
188,CCCCCCCCCCCCCCCC,1532
189,(C)(C),1521
190,cc(O),1510
191,C1O,1491
192,CC=,1485
193,C[C@H](O),1454
194,CN,1444
195,C5,1438
196,c1n,1436
197,1),1436
198,S(=O),1434
199,CC(O),1426
200,(C(=O)O),1404
201,[N+](C)(C),1399
202,CCCCC,287
203,c1ccc(,1350
204,[C@@H]2,1325
205,CCN,1307
206,c2c(,1295
207,C=C(,1290
208,C2O),1283
209,=C(,1272
210,P(=O)([O-])OCC,1264
211,CCC=CCCCCCCC,1230
212,[C@@H](O)[C@H](O),1223
213,P(=O)([O-])OCC[N+](C)(C),1220
214,c(OC),1196
215,C(C)C),1187
216,C(OC,1180
217,COC(=O),1175
218,C(=,1150
219,S(=O)(=O),1147
220,[C@H](O)[C@H](O),1134
221,O=C(,1124
222,cc(,1111
223,C(=O)OC[C@H](C,1106
224,(CO),1103
225,O=C(O),1101
226,c1O,1077
227,C(C)=C,1064
228,=N,1036
229,c(C),1026
230,CC2,92
231,O[C@],1009
232,O[C@H](COC(=O)CCCCCCCC,1008
233,O[C@@H](,1000
234,NC(C)=O),996
235,O)[C@H](O),993
236,O[C@@H]2,988
237,CCC1,69
238,C=CCCCCCCC,986
239,CCC3,984
240,c5,983
241,4),983
242,CCCC(=O),961
243,cc1,897
244,[C@@H]3,944
245,l),926
246,c4cc,923
247,CCCCCCC,168
248,O[C@@H]1,894
249,[C@@]2,889
250,OP(=O)(O)O),881
251,Cc1cc,870
252,C6,863
253,C/C=C\,863
254,c(N),849
255,C[C@H](O)[C@@H](,847
256,CCCCCCCCC,838
257,C=C(C),838
258,C3O),837
259,c3),835
260,CCC(,831
261,(C(=O)O)C[C@H](O)[C@@H](,831
262,(C(=O)O)C[C@H](O)[C@@H](NC(C)=O),830
263,CCCCCCCC(=O),827
264,c2n,820
265,/C=C(,818
266,[C@@H](C),812
267,(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C(,807
268,OCC(O),805
269,OC(C),805
270,(C)C3,803
271,OC[C@H](C,799
272,COc1cc(,799
273,CC3,790
274,CCCCCC=CCC=CCC=,789
275,CC(C)=,789
276,CC[C@],788
277,c12,784
278,c3cccc,772
279,OC3,761
280,C1CCC2,758
281,c2ccccc2,753
282,c1ccccc1,423
283,cnc3,729
284,C)COP(=O)(O),724
285,N=,723
286,O[C@H]1,722
287,c2cc(O),718
288,[C@H](C),715
289,[C@H]4,709
290,n2,705
291,C)OC(=O)CCCCCCCC,703
292,[C@@H](CO),698
293,CCCC(C),698
294,c1ccccc1),690
295,CCC=CCCCCC,460
296,c3cc(O),679
297,[C@H]1O,677
298,c1cc(O),669
299,C=C1,658
300,C[C@H](,655
301,(F),655
302,c(N)n,653
303,CCC(C),653
304,CCC(=O),652
305,cc2,643
306,O1,642
307,CC(=O)N,640
308,C1O),634
309,[C@H](O[C@@H],633
310,[C@@H]1O,628
311,CCCN,628
